group_id,group_type,phash_hamming_threshold,sha256_or_min_pair_hamming,filename
exact-0206,exact,,f1776d16709196c573a34e53df473ffbbcbc1f6a755d43d6b5f7b67e59a267e2,data/DFU/Patches/Normal(Healthy skin)/263.jpg
exact-0206,exact,,f1776d16709196c573a34e53df473ffbbcbc1f6a755d43d6b5f7b67e59a267e2,data/DFU/Patches/Normal(Healthy skin)/534.jpg
exact-0207,exact,,d932b3a33b5867bf2d29afe5d082b53c36254741822928a3d468f20f91afbb95,data/DFU/Patches/Normal(Healthy skin)/264.jpg
exact-0207,exact,,d932b3a33b5867bf2d29afe5d082b53c36254741822928a3d468f20f91afbb95,data/DFU/Patches/Normal(Healthy skin)/533.jpg
exact-0208,exact,,f38d204f403e2317eae18a7fad233b6ce638cb1d5a775ef995500ac942d8e67c,data/DFU/Patches/Normal(Healthy skin)/267.jpg
exact-0208,exact,,f38d204f403e2317eae18a7fad233b6ce638cb1d5a775ef995500ac942d8e67c,data/DFU/Patches/Normal(Healthy skin)/491.jpg
exact-0209,exact,,f356632b738fc45e5c8e1b011a46e2e03a3ca79004474459f0c3b58120aadc6a,data/DFU/Patches/Normal(Healthy skin)/268.jpg
exact-0209,exact,,f356632b738fc45e5c8e1b011a46e2e03a3ca79004474459f0c3b58120aadc6a,data/DFU/Patches/Normal(Healthy skin)/528.jpg
exact-0210,exact,,8156bc0e08c95031f10b358e3cff9b4731b629088fcbaf478883484f6ace095b,data/DFU/Patches/Normal(Healthy skin)/269.jpg
exact-0210,exact,,8156bc0e08c95031f10b358e3cff9b4731b629088fcbaf478883484f6ace095b,data/DFU/Patches/Normal(Healthy skin)/492.jpg
exact-0211,exact,,6eb867dba3308c2fba1c4df776c082a4c8d60a47b28fd1620cdefd5cc7741a6b,data/DFU/Patches/Normal(Healthy skin)/27.jpg
exact-0211,exact,,6eb867dba3308c2fba1c4df776c082a4c8d60a47b28fd1620cdefd5cc7741a6b,data/DFU/Patches/Normal(Healthy skin)/307.jpg
exact-0212,exact,,99533bf60a61d484959718bf42156765352b9d52754a0d40c83476c183c3b6ea,data/DFU/Patches/Normal(Healthy skin)/270.jpg
exact-0212,exact,,99533bf60a61d484959718bf42156765352b9d52754a0d40c83476c183c3b6ea,data/DFU/Patches/Normal(Healthy skin)/530.jpg
exact-0213,exact,,3fb9320cbc80430436917fe92b10439ca7c6f2058dd6526c95cceb011609dc78,data/DFU/Patches/Normal(Healthy skin)/271.jpg
exact-0213,exact,,3fb9320cbc80430436917fe92b10439ca7c6f2058dd6526c95cceb011609dc78,data/DFU/Patches/Normal(Healthy skin)/493.jpg
exact-0214,exact,,68a5b1d0b289c4904da105b908d7cea5c8bfbfbc30b57aeec49df43793d823cf,data/DFU/Patches/Normal(Healthy skin)/272.jpg
exact-0214,exact,,68a5b1d0b289c4904da105b908d7cea5c8bfbfbc30b57aeec49df43793d823cf,data/DFU/Patches/Normal(Healthy skin)/517.jpg
exact-0215,exact,,153c8ae246e4bf789fa815402abd288bddebdac1b33077caf3887545f2b91b4d,data/DFU/Patches/Normal(Healthy skin)/273.jpg
exact-0215,exact,,153c8ae246e4bf789fa815402abd288bddebdac1b33077caf3887545f2b91b4d,data/DFU/Patches/Normal(Healthy skin)/521.jpg
exact-0216,exact,,e92b83e506b5b5bee624e4a2342fece33b682fc3af359a88c43f0bf8d5662bfd,data/DFU/Patches/Normal(Healthy skin)/274.jpg
exact-0216,exact,,e92b83e506b5b5bee624e4a2342fece33b682fc3af359a88c43f0bf8d5662bfd,data/DFU/Patches/Normal(Healthy skin)/518.jpg
exact-0217,exact,,806160c6c20cfcdc1d73055809d301d664d312a448a15f7c3d4ac51617620390,data/DFU/Patches/Normal(Healthy skin)/275.jpg
exact-0217,exact,,806160c6c20cfcdc1d73055809d301d664d312a448a15f7c3d4ac51617620390,data/DFU/Patches/Normal(Healthy skin)/529.jpg
exact-0218,exact,,d5b8f408221fa31929edccb1af2a65c9831c903ffb8868ba29664a362daefe62,data/DFU/Patches/Normal(Healthy skin)/276.jpg
exact-0218,exact,,d5b8f408221fa31929edccb1af2a65c9831c903ffb8868ba29664a362daefe62,data/DFU/Patches/Normal(Healthy skin)/532.jpg
exact-0219,exact,,49594ef2324492d79628876e5fea86064fcced3b504632cdde89e5ead7ac46eb,data/DFU/Patches/Normal(Healthy skin)/277.jpg
exact-0219,exact,,49594ef2324492d79628876e5fea86064fcced3b504632cdde89e5ead7ac46eb,data/DFU/Patches/Normal(Healthy skin)/537.jpg
exact-0220,exact,,5ab8feaba7c9b02f2dfa8905110610aa31b1294dc963a7292fc35a1e5a06e8e1,data/DFU/Patches/Normal(Healthy skin)/278.jpg
